Site ID,Current Site Name,Line1 Address,Comu ,Site Municipality,Zip Code ,Contamination
353627,ARCHDIOCESE OF NEWARK IRONBOUND CATHOLIC ACADEMY,366 E KINNEY ST,0714,Newark City,07105    ,RAO-A (Unrestricted Use)
689402,ARCO NEWARK TERMINAL FORMER,921 1111 DELANCY ST,0714,Newark City,07101    ,LSRP Oversight
8835,ARDELL INDUSTRIES INC,238 BURNETT AVE,0711,Maplewood Twp,07040    ,LSRP Oversight
334692,ARKANAS CHEMICAL CO FORMER,173 183 FOUNDRY ST,0714,Newark City,07105    ,LSRP Oversight
51681,ARK IMPROVEMENT CORP,946 BROAD ST,0714,Newark City,07102    ,LSRP Oversight
23397,ARNOLD ACTION FURNITURE INC,146 COIT ST,0709,Irvington Twp,07111    ,RAO-A (Unrestricted Use)
632744,ARNOLD FURNITURE ,132 COIT ST,0709,Irvington Twp,07111    ,LSRP Oversight
8933,ARNOLD FURNITURE INC,400 COIT ST,0709,Irvington Twp,07111    ,LSRP Oversight
649489,ARNOLD FURNITURE MANUFACTURERS INC,380 384 COIT ST,0709,Irvington Twp,07111    ,RAO-Entire Site (Unrestricted Use)
8956,ARNOLD GEISLER FURNITURE FABRICATORS,609 CHANCELLOR AVE,0709,Irvington Twp,07111    ,RAO-Entire Site (Unrestricted Use)
14923,AROL CHEMICAL PRODUCTS CO INC,647 651 FERRY ST,0714,Newark City,07105    ,LSRP Oversight
8164,ARP SERVICE STATION,202 POMPTON AVE,0720,Verona Twp,07044    ,LSRP Oversight
64523,ARROW AUTO MALL,FRANKLIN ST,0701,Belleville Twp,07109    ,Suspected
52984,ARROW FUEL,469 LYONS AVE,0714,Newark City,07112    ,RAO-A (Unrestricted Use)
8411,ARROW UNIFORM SUPPLY INC,377 5TH ST,0714,Newark City,07107    ,LSRP Oversight
70835,ARRPA CO,52 HUNTER ST,0714,Newark City,07114    ,LSRP Oversight
64016,ART METAL USA INC,264 304 PASSAIC ST,0714,Newark City,07104    ,LSRP Oversight
152856,A&S BOILER INC,1239 BROAD ST,0714,Newark City,07114    ,RAO-ISRA Entire Site (Restricted Use)
48686,A&S CORP,415 421 AVON AVE,0714,Newark City,07108    ,RAO-A (Unrestricted Use)
61681,ASME INTERNATIONAL,22 LAW DR,0707,Fairfield Twp,07004    ,RAO-A (Unrestricted Use)
30804,ASPE INC,6 WASHINGTON AVE,0707,Fairfield Twp,07004    ,RAO-A (Unrestricted Use)
631435,ASSISTED LIVING FACILITY PROPOSED,212 PASSAIC AVE,0707,Fairfield Twp,07004    ,Verified Unknown Source
94945,ASSOCIATED GRAPHICS INC,3 OAK RD,0707,Fairfield Twp,07004    ,RAO-ISRA Entire Site (Restricted Use)
20298,ATCO PRODUCTS INC,189 195 FRELINGHUYSEN AVE,0714,Newark City,07114    ,LSRP Oversight
752057,ATHLETIC ARTS ACADEMY @ 23 SOUTH ESSEX AVENUE STRIP MALL,23 S ESSEX AVE,0717,Orange City Twp,07050    ,LSRP Oversight
8767,ATI SERVICE STATION,111 GROVE ST,0713,Montclair Twp,07042    ,LSRP Oversight
26264,ATLANTIC BIAS PRODUCTS INC,702 FRELINGHUYSEN AVE,0714,Newark City,07114    ,Known
8345,ATLANTIC COLLISION,141 FRELINGHUYSEN AVE,0714,Newark City,07114    ,Verified Unknown Source
35520,ATLANTIC PRODUCTS INC ,300 FAIRFIELD RD,0707,Fairfield Twp,07006    ,LSRP Oversight
587065,ATLANTIC TRACK,270 BROAD ST,0702,Bloomfield Twp,07003    ,LSRP Oversight
122683,ATLANTIC ZEISER @ ESSEX PASSAIC IND PK,15 PATTON DR,0721,West Caldwell Twp,07007    ,RAO-ISRA Entire Site (Unrestricted Use)
360174,A TO Z ACADEMY,264 PASSAIC AVE,0707,Fairfield Twp,07004    ,Suspected
360184,AUDREY WEST HEAD START CENTER,168 ROSEVILLE AVE,0714,Newark City,07107    ,CCF Approved
56348,AUGHT CORP,275 SANFORD ST,0705,East Orange City,07018    ,LSRP Oversight
568671,AUNT CLARS DAYCARE CENTER,49 16TH AVE,0714,Newark City,07103    ,LSRP Oversight
22612,AURILYTE PROCESS CO,25 MCWHORTER ST,0714,Newark City,07105    ,LSRP Oversight
8569,AUTO BODY & SERVICE CO INC FORMER,32 JONES ST,0714,Newark City,07103    ,Known
8224,AUTOMATIC DATA PROCESSING,1 ADP BLVD,0718,Roseland Boro,070681728,RAO-A (Unrestricted Use)
392565,AUTOMATIC ELECTRO PLATING,157 169 FOUNDRY ST ,0714,Newark City,07105    ,LSRP Oversight
8127,AUTOPART INTERNATIONAL,56 COLUMBIA ST,0722,West Orange Twp,07052    ,Inactive
63659,AVALON ROSELAND,100 AVALON BLVD,0718,Roseland Boro,07068    ,Known
666812,AVENUE L & MARY STREET GROUND WATER CONTAMINATION,AVENUE L & MARY ST,0714,Newark City,07105    ,Known
63766,AVENUE P SLF,345 405 AVE P,0714,Newark City,07118    ,LSRP Oversight
14219,AVERY DENNISON MFG CO CONTROL PRINT DIV,67 SAND PARK RD,0704,Cedar Grove Twp,07009    ,RAO-ISRA Entire Site (Unrestricted Use)
126010,AVIS RENT A CAR INC,86 OLYMPIA DR,0714,Newark City,07114    ,RAO-A (Limited Restricted Use)
54887,AVON SHEET METAL & ROOFING CO,210 224 BADGER AVE,0714,Newark City,07199    ,LSRP Oversight
18601,AVON SUPERWASH INC LAUNDROMAT,125 AVON AVE,0714,Newark City,07108    ,LSRP Oversight
391669,AWISCO NJ CORP,24 LAKESIDE AVE,0722,West Orange Twp,07052    ,Inactive
445722,BABYLAND FAMILY SERVICES INC,755 757 S ORANGE AVE,0714,Newark City,07106    ,RAO-Entire Site (Unrestricted Use)
